identifier,title,description,prof,credits,sws,cycle,exam_type,condition
ALG2,Algorithmen II,weitere Suchstrukturen (B-Bäume; Skip-Listen; Intervall-Bäume); Stringsuche; effizientere Heap-und Hashing-Strukturen; schnelle Matrizenmultiplikation; geometrische Algorithmen (Scanline; Konvexe-Hülle; Voronoi); schnelle Fourier-Transformation; ZIP-Komprimierung; maximaler Fluss,Chimani,6,4,Jedes zweite Wintersemester,Klausur ( 90 - 120 min) oder mündliche Prüfung (30 min),INFA
AE,Algorithm Engineering,Externspeicheralgorithmen; van Emde Boas Datenstrukturen; Branch - and - Cut; Suffix Arrays; Point2Point Shortest Path; TSP; KCT,Chimani,9,6,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min) und Bearbeitung/Präsentation eines Übungsprojekts,Bachelor
APX,Approximationsalgorithmen,Absolute und relative Gütegarantien; PTAS; FPTAS; Vertex/Set Cover;  Rucksackproblem; Bin packing; metrisches TSP; Steinerbaum,Chimani,6,4,Jedes zweite Wintersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
AA,Authentifizierung und Autorisierung,Passwortbasierte Authentifizierungsverfahren; Zertifikatsbasierte Authentifizierungsverfahren; Rollen- und Rechtekonzepte; Verteilte Authentifizierungsverfahren; Challenge-Response-Verfahren; Digitale und elektronische Signaturen; Biometrische Verfahren,Thelen,6,4,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA; INFB
BR,Betriebssysteme und Rechnernetze,Aufgaben von Betriebssystemen; Architektur von Betriebssystemen;  Prozessinteraktion; Scheduling; Speicherverwaltung; Dateisysteme; Kommunikation zwischen Systemen; Protokolle zur Realisierung von  Rechnernetzen; Protokollhierarchien; Aufgaben und Implementierung der  Protokollschichten.,Aschenbruck,9,6,Jedes Sommersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
CB,Compilerbau,Einführung in Klassifikation höherer Programmiersprachen; Interpreter und Übersetzer; Übersetzung imperativer Sprachkonzepte;Aufbau von Übersetzern inkl. lexikalischer Analyse; syntaktischer Analyse; semantischer Analyse; Codeerzeugung,Göers,3,2,Nicht regelmäßig,Klausur ( 90 min) oder mündliche Prüfung (30 min),INFA
CoSch,Complex Scheduling Problems,Komplexe Schedulingprobleme (ressourcenbeschränkte Projektplanungsprobleme; verallgemeinerte Shop- Schedulingprobleme; Timetabling-und Sportligaplanungsprobleme) und effiziente Lösungsalgorithmen für diese Probleme (lokale Suche; constraint propagation; lineare Programmierung; Branch-and-Bound-Algorithmen; genetische Algorithmen).,Knust,9,6,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),Bachelor
CG,Computergrafik,2D-Grundlagen; 2D-Füllen; 2D-Clipping; 2D-Transformationen; Kurven; Farbe; Pixeldateien; SVG; Fraktale; 3D-Transformationen; Projektionen; Betrachtungs-transformationen; 3D-Repräsentation; Culling; Rasterung; Texturing; X3D; OpenGl; Radiosity; Raytracing,Vornberger,9,6,Jedes zweite Sommersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
DBS,Datenbanksysteme,Konzeptuelle Modellierung; Logische Datenmodelle; Physikalische Datenorganisation; SQL; Datenintegrität; Trigger; Datenbankapplikationen; XML;  Relationale Entwurfstheorie; Transaktionsverwaltung; Mehrbenutzersynchronisation; Recovery; Sicherheit; Objektorientierte Datenbanken;Data Warehouse,Vornberger,9,6,Jedes zweite Sommersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
DID1,Didaktik der Informatik I,Es werden die Grundlagen des fachbezogenen Lehrens und Lernens erarbeitet und die Rahmenbedingungen von Unterricht (Standards; Curricula) vorgestellt. An ausgewählten Fallbeispielen wird in die Planung von Unterricht eingeführt. Eine enge Verzahnung mit der Schulpraxis durch Unterrichtsbesuche etc.wird angestrebt.,Gieseke,5,3,Jedes Wintersemester,Ausarbeitung und Präsentation (Referat),Bed
DID2,Didaktik der Informatik II,Es werden die Planung und Gestaltung von Unterricht vertieft; die Analyse und Bewertung von Lehr- und Lernprozessen erarbeitet und Informatiksysteme für den Unterricht vorgestellt. Eine enge Verzahnung mit der Schulpraxis durch Unterrichtsbesuche etc. wird angestrebt.,Gieseke,4,3,Jedes Sommersemester,Ausarbeitung und Präsentation (Referat),Bed
CPP,Die Programmiersprache C++,Syntax/Semantik von C und C++; Verwendung von Programmbibliotheken; C++-Programmieren mit MS Visual Studio; C++0x,Wiemann,6,4,Jedes Wintersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min) oder Bearbeitung und Präsentation von Übungsaufgaben und Praktikumsergebnis,INFA; INFB
E-LEARN,E-Learning,Systematik von E-Learning-Anwendungen; Lernplattformen; Autorensysteme; Kommunikations- und Kollaborationssysteme; technopädagogische Entwurfsmuster; E-Learning-Standards,Thelen,6,4,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
KOP,Einführung in die Kombinatorische Optimierung,Einführung in die Grundbegriffe der kombinatorischen Optimierung; allgemeine Lösungsmethoden: Branch-and-Bound-Algorithmen; Constraint Programming; Dynamische Programmierung; Lokale Suche; Genetische Algorithmen; Ameisenalgorithmen; Lineare Programmierung; Anwendungen,Knust,9,6,Jedes Wintersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
AI,Einführung in die Künstliche Intelligenz,Agenten-Metapher als Abstraktion von KI-Systemen;Logik und Inferenz; Handlungsplanung; Schließen unter Unsicherheit; Maschinelles Lernen; beispielhafte Anwendungen in der Robotik,Hertzberg,9,6,Jedes Wintersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
Cplus,Einführung in die Programmiersprache C++,Syntax/Semantik von C und C++; Verwendung von Programmbibliotheken; C++-Programmieren mit MS Visual Studio; C++0x,Wiemann,3,2,Jedes Wintersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min) oder Bearbeitung und  Präsentation von Übungsaufgaben,INFA; INFB
EDS,Entwurf digitaler Systeme,Grundlagen integrierter Schaltungen ; Entwurfsstrategien ; Schaltungsentwurf mit VHDL ; Systementwurf; Partitionierung ; Simulation und Test digitaler Systeme,Brockmann,6,4,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA; INFC
FGA,Fortgeschrittene Graphenalgorithmen,SPQR-Bäume (Dreizusammenhang); Baumweite; Planaritätstest;  Nichtplanaritätsmaße; Matchings; Flüsse; Graphenzeichnen; FPT-Algorithmen auf Graphen; Primal-Duale Algorithmen,Chimani,9,6,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),Bachelor
FSFC,Fuzzy-Systeme und Fuzzy-Control,Grundlagen der Fuzzy-Informationsverarbeitung; Fuzzifizierung; Defuzzifizierung; Fuzzy-Operatoren; Fuzzy-Inferenz; Engineering von Fuzzy-Systemen; Grundlagen von Fuzzy-Control; Engineering von Fuzzy-Control-Systemen,Brockmann,6,4,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
GALG,Graphenalgorithmen,Einführung in die Grundbegriffe der Graphentheorie; Suchverfahren; Zusammenhangs-Probleme; Bäume; kürzeste Wege; Matching-und Routing-Probleme; Knoten-und Kantenfärbungen. Dabei steht die Entwicklung von effizienten Lösungsverfahren im Vordergrund.,Knust,9,6,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
GMS,Grundlagen mechatronischer Systeme,Grundlagen mechatronischer Systeme-Technische Mechanik -Sensorik-Aktorik-Messtechnik; Systemmodellierung; Regelungstechnik; Rechnertechnik für mechatronische Systeme,Brockmann,6,4,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA; INFC
INFA,Informatik A (Algorithmen und Datenstrukturen),Es werden anhand der Programmiersprache Java die wichtigsten Algorithmen zum Suchen und Sortieren vorgestellt und die dazu benötigtenDatenstrukturen wie Keller; Schlangen; Listen; Bäume; Hash-Tabellen und Graphen eingeführt. Programme werden auf Eigenschaften wie Korrektheit; Terminierung und Effizienz untersucht.,Vornberger,9,6,Jedes Wintersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),
INFB,Informatik B (Grundlagen der Software-Entwicklung),Objektorientierte Basiskonzepte (z. B. Klassen; Konstruktoren; Vererbung; Typen; Modularisierung; Schnittstellen; Fehlerbehandlung); Einführung in die Modellierung (z.B. UML);weiterführende Programmierkonzepte (z. B. Persistenz; Nebenläufigkeit; Synchronisation); grafische Benutzeroberflächen und Event-Handling; Netzwerkprogrammierung; spezielle Themen (z.B. Applets),Pulvermüller,9,6,Jedes Sommersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
INFC,Informatik C (Grundlagen d. Technischen Informatik),Es werden die Grundlagen der technischen Informatik und Rechnerhardware auf verschiedenen Abstraktionsebenen vermittelt. Dazu erfolgt eine Einführung in die Digitaltechnik und in Rechnerarchitekturen ausgehend von der Schaltalgebra; der Gatterebene mit Schaltnetzen; Flip-Flops und Schaltwerken über typische Grundschaltungen und Entwurfsverfahren bis hin zu Mikroprozessoren und einfacher Assemblerprogrammierung.,Brockmann,9,6,Jedes Wintersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
INFD,Informatik D (Einführung in d. Theoretische Informatik),Es werden die klassischen Gebiete der Theoretischen Informatik behandelt: Grammatiken und Automaten; Chomsky-Hierarchie; Komplexität und Berechenbarkeit; P und NP; NP-Vollständigkeit; Unentscheidbarkeit,Chimani,9,6,Jedes Sommersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
